id_D,CX,CY,CostoApertura,CostoVehiculo,V
68,2255,9146,3860,2216,49
69,4132,2216,3860,2216,42
70,8029,8798,3860,2216,25
71,2833,8063,3860,2216,35
72,4171,5163,3860,2216,25
73,9352,2597,3860,2216,37
74,3817,1446,3860,2216,16
75,8352,7778,3860,2216,25
76,8884,7112,3860,2216,44
77,8408,7659,3860,2216,44
78,8605,1465,3860,2216,36
79,2851,6926,3860,2216,24
80,5701,3739,3860,2216,47
81,8140,3419,3860,2216,31
82,5787,9022,3860,2216,19
83,7993,9519,3860,2216,31
84,5420,9025,3860,2216,48
85,5953,7751,3860,2216,46
86,2189,5202,3860,2216,20
87,7114,9204,3860,2216,29
88,2378,1239,3860,2216,42
89,6859,8267,3860,2216,19
90,4454,3876,3860,2216,19
91,4040,4566,3860,2216,47
92,3835,6475,3860,2216,26
93,4690,9887,3860,2216,16
94,5921,4595,3860,2216,31
95,9473,6433,3860,2216,18
96,4220,8009,3860,2216,23
97,8812,2326,3860,2216,29
98,9396,4374,3860,2216,31
99,5475,7155,3860,2216,22
100,2943,3543,3860,2216,20
101,7424,3171,3860,2216,41
102,7309,5218,3860,2216,43
103,6115,7707,3860,2216,31
104,6776,4769,3860,2216,28
105,1125,5665,3860,2216,44
106,4467,5484,3860,2216,42
107,5660,1880,3860,2216,21
108,8534,3323,3860,2216,38
109,3072,5949,3860,2216,27
110,7511,7807,3860,2216,30
111,4234,6062,3860,2216,34
112,1211,8368,3860,2216,44
113,3298,6828,3860,2216,35
114,2226,5580,3860,2216,15
115,5632,7393,3860,2216,41
116,8252,4579,3860,2216,30
117,3416,9783,3860,2216,20
118,2745,6597,3860,2216,19
119,9630,4818,3860,2216,21
120,9275,8049,3860,2216,25
121,6200,9473,3860,2216,24
122,3670,8384,3860,2216,18
123,3110,4523,3860,2216,36
124,9891,9360,3860,2216,25
125,8591,2979,3860,2216,34
126,2582,9956,3860,2216,39
127,4110,7369,3860,2216,34
128,7402,4305,3860,2216,49
129,1977,4330,3860,2216,19
130,8586,4523,3860,2216,41
131,9346,6849,3860,2216,18
132,8402,6502,3860,2216,46
133,5894,8742,3860,2216,34
134,5461,4555,3860,2216,35
135,5177,1270,3860,2216,23
136,6019,4406,3860,2216,27
137,8929,9039,3860,2216,26
138,9837,2151,3860,2216,30
139,4552,6729,3860,2216,50
140,2000,4988,3860,2216,39
141,7348,8958,3860,2216,45
142,7787,2791,3860,2216,34
143,2212,3356,3860,2216,33
144,9647,5786,3860,2216,29
145,9013,7372,3860,2216,35
146,6844,9749,3860,2216,23
147,7898,9365,3860,2216,45
148,2428,7154,3860,2216,41
149,8590,6346,3860,2216,28
150,7528,4183,3860,2216,15
151,1703,5203,3860,2216,15
152,4789,5819,3860,2216,37
153,1197,2567,3860,2216,18
154,3813,8726,3860,2216,37
155,4679,5178,3860,2216,48
156,8789,4546,3860,2216,38
157,5395,8682,3860,2216,26
158,7790,2546,3860,2216,31
159,6191,7851,3860,2216,36
160,6373,3011,3860,2216,31
161,6376,6070,3860,2216,22
162,5537,4700,3860,2216,40
163,4774,8513,3860,2216,26
164,2269,4811,3860,2216,41
165,9999,8255,3860,2216,24
166,8951,8784,3860,2216,35
167,7289,8218,3860,2216,18
168,8927,7294,3860,2216,35
169,8788,9935,3860,2216,50
170,1841,4947,3860,2216,18
171,9927,2281,3860,2216,24
172,6136,8893,3860,2216,45
173,8628,6738,3860,2216,38
174,2138,4637,3860,2216,42
175,5782,4679,3860,2216,24
176,7641,4110,3860,2216,22
177,7983,4386,3860,2216,15
178,3679,4044,3860,2216,18
179,9069,1263,3860,2216,48
180,6572,9733,3860,2216,28
181,1206,7227,3860,2216,19
182,9773,5467,3860,2216,49
183,1361,5551,3860,2216,15
184,1404,8794,3860,2216,23
185,3585,4193,3860,2216,35
186,5041,9729,3860,2216,48
187,9194,3339,3860,2216,46
188,7981,2874,3860,2216,46
189,2830,2275,3860,2216,29
190,5385,1190,3860,2216,32
191,4353,4886,3860,2216,26
192,8206,7346,3860,2216,36
193,9922,4891,3860,2216,21
194,8127,3399,3860,2216,38
195,9476,2157,3860,2216,27
196,9920,3145,3860,2216,30
197,7077,2183,3860,2216,22
198,6764,9375,3860,2216,31
199,8846,9440,3860,2216,15
200,5865,2117,3860,2216,22
