id_C;Tipo;CX;CY;Lunes;Martes;Miercoles;Jueves;Viernes;Sabado;Domingo
163;Carton;3093;5855;;;2446;3645;4375;1280;779;
164;Plastico;2051;1283;3155;;2943;229;2599;804;4506;
165;Plastico;9281;2129;835;;4605;3686;3066;2926;3749;
166;Pilas;2892;6661;1418;2938;835;1274;1944;3181;1171;
167;Pilas;7120;10262;3623;997;3114;3031;3841;3244;530;
168;Vidiro;1797;9902;2026;4365;2250;;2883;2951;1569;
169;Carton;1609;2500;;;2722;242;1131;1912;978;
170;Carton;4557;4657;;;4729;1229;4673;2831;1104;
171;Pilas;7823;1746;2016;342;818;2813;4244;881;1091;
172;Plastico;9409;5284;2712;;853;2188;565;566;4811;
173;Pilas;7959;7497;2937;155;1632;3249;4784;4113;4174;
174;Plastico;3415;1018;4613;;405;4265;4855;1123;3330;
175;Plastico;9900;4157;3761;;2541;4449;2726;4646;2889;
176;Plastico;4091;2364;150;;2961;1828;4340;4368;4712;
177;Carton;4741;6304;;;2915;4172;5096;165;3685;
178;Carton;6301;10230;;;2777;2561;3693;934;3135;
179;Carton;8254;10627;;;4980;4273;1625;4423;1989;
180;Pilas;1378;6726;2206;5066;471;1818;159;775;1796;
181;RAEE;5226;2099;;4391;4785;;;;;
182;Carton;10698;5874;;;2475;3787;3071;4661;3174;
183;Plastico;1225;5188;1558;;4813;1139;2233;1702;1517;
184;Pilas;8859;8704;4277;3175;3046;4336;203;1094;3563;
185;Carton;2202;1391;;;987;189;432;365;3916;
186;Plastico;1371;9236;3545;;4914;2665;1707;2724;2378;
187;Plastico;8647;10757;516;;2717;3036;1744;3246;2464;
188;Plastico;6942;3383;3388;;2298;121;3779;2756;2361;
189;Carton;9768;3989;;;2684;4812;2215;2413;3258;
190;Plastico;9281;5878;1005;;3608;216;762;192;1985;
191;Carton;10631;4029;;;2878;493;2275;261;4312;
192;Vidiro;6463;4711;4243;1467;1594;;4363;808;473;
193;Pilas;7848;1421;613;5031;2221;1844;2500;4478;352;
194;Plastico;9869;6040;2206;;4772;4826;2087;3902;1571;
195;Pilas;10162;6315;1077;4126;1368;220;1845;4215;4484;
196;RAEE;4806;10488;;4327;4780;;;;;
197;Carton;9097;1510;;;4941;4362;1279;1546;4583;
198;RAEE;3571;9143;;3695;4321;;;;;
199;RAEE;10928;3397;;542;2812;;;;;
200;Vidiro;10079;7420;1799;2992;4936;;914;3728;3742;
201;Carton;7654;7212;;;1434;762;1183;4587;1955;
202;Carton;1345;8018;;;1281;4690;2896;2870;4637;
203;Pilas;4369;10051;1865;945;4747;944;3717;2838;3996;
204;Pilas;2510;3574;1590;2668;2817;2803;1889;503;4817;
205;Plastico;8872;7243;4669;;3361;1326;850;4303;474;
206;RAEE;9521;9741;;4024;2128;;;;;
207;Plastico;1509;2121;2806;;4839;865;1702;2701;4791;
208;RAEE;8664;10091;;1833;3246;;;;;
209;Vidiro;1400;8137;3372;3480;4536;;2942;3093;762;
210;Carton;9592;9549;;;3565;2390;1232;2489;770;
211;Plastico;8994;9511;800;;4702;4563;3754;2303;606;
212;Vidiro;3670;8646;4504;893;4618;;1641;3756;2891;
213;Vidiro;7273;5444;718;1558;677;;4267;3947;4143;
214;RAEE;8809;10979;;3579;4425;;;;;
215;Pilas;3647;3177;2349;3092;131;904;4950;2802;3551;
216;RAEE;9968;3106;;3587;5099;;;;;
217;RAEE;5252;7278;;3797;3363;;;;;
218;Plastico;4242;1155;3862;;4102;4335;1671;434;2120;
219;Plastico;7403;10659;3680;;1137;3369;3024;1168;4173;
220;RAEE;8774;1122;;1843;2328;;;;;
221;RAEE;9120;7582;;2473;4312;;;;;
222;Plastico;2203;8422;898;;4029;4119;4660;4384;3355;
223;Plastico;7131;5618;2634;;729;2746;2566;1766;1015;
224;Carton;7742;10087;;;4617;661;3965;2712;2890;
225;Carton;4338;1546;;;811;4858;4025;4585;3685;
226;RAEE;10723;4414;;735;4150;;;;;
227;Pilas;8211;7766;290;753;750;2937;4571;3768;204;
228;Plastico;7214;5107;2183;;4769;3115;4795;3911;1453;
229;Carton;6241;2532;;;1451;1909;3001;5036;2984;
230;RAEE;3667;4892;;1818;1204;;;;;
231;Carton;7638;9090;;;3743;3840;1935;3214;3861;
232;Vidiro;7940;5328;1189;1511;3989;;4204;2558;2800;
233;Pilas;6457;5051;3973;502;3846;3226;1790;3083;2246;
234;Carton;1583;8854;;;3139;4592;3406;785;4587;
235;Plastico;9399;3521;2260;;913;3382;1480;2002;1146;
236;Carton;1270;7007;;;4422;2916;4008;1359;3142;
237;Vidiro;1662;2358;2453;4441;4766;;3036;2295;4982;
238;RAEE;6975;9040;;3112;2627;;;;;
239;Carton;2588;6533;;;200;1446;4864;1580;4701;
240;Pilas;3162;4102;2118;3877;4876;2378;1488;2918;3041;
241;RAEE;8746;1339;;3539;105;;;;;
242;Pilas;5582;1635;2009;3775;4529;5021;1302;2469;1907;
243;Pilas;5036;9821;3900;401;4206;2414;4856;1166;4432;
244;Vidiro;5885;8195;2725;1465;1004;;472;1804;2650;
245;Plastico;6163;9062;898;;754;493;925;1535;414;
246;Vidiro;4380;9804;2516;2725;3079;;1316;4378;2185;
247;RAEE;10882;1386;;4314;1723;;;;;
248;RAEE;7699;4529;;3164;4533;;;;;
249;Pilas;1973;7121;1236;635;567;3387;1289;2312;4212;
250;Plastico;9976;8527;2880;;2452;5008;1857;431;2576;
251;Vidiro;8387;9769;4226;3373;3025;;2201;1424;1554;
252;Vidiro;2350;1740;3775;3313;4323;;1264;200;1143;
253;Pilas;10451;7289;5015;1717;2234;2508;849;4587;3768;
254;Pilas;4858;7170;2698;5039;3603;1824;3312;1528;3925;
255;Vidiro;1888;5235;1729;223;1655;;4942;798;2819;
256;Plastico;5943;4093;2684;;2801;3538;4302;1287;2298;
257;Carton;2303;3026;;;262;3297;2111;2860;3236;
258;Carton;2867;5484;;;4747;4761;3689;3982;2641;
259;RAEE;2570;6357;;2865;1156;;;;;
260;Carton;10520;8708;;;3143;1744;4654;2933;2298;
261;Plastico;6742;1031;2868;;997;3764;2417;4361;1524;
262;Pilas;6454;2128;4607;875;3373;4548;4758;2267;1119;
263;RAEE;1015;3616;;2523;2236;;;;;
264;Carton;3844;5277;;;940;3931;816;3139;4673;
265;RAEE;6747;3893;;3097;3009;;;;;
266;Pilas;7011;4610;2917;1190;3045;2424;1965;2670;1873;
267;RAEE;3875;5737;;4343;3805;;;;;
268;RAEE;5280;9018;;2224;2395;;;;;
269;RAEE;1077;5316;;894;2455;;;;;
270;Pilas;9404;8893;2198;2342;4609;4562;952;294;2379;
271;Carton;7942;10491;;;260;3514;4181;4487;4603;
272;Carton;10577;4630;;;3957;3101;1855;2433;396;
273;Pilas;4184;2649;4078;457;1280;3324;2057;4730;566;
274;Carton;3819;1444;;;4465;2824;1065;309;132;
275;Pilas;3477;9623;1965;3226;142;1947;4139;351;4948;
276;Plastico;1794;8584;4079;;4333;4372;4409;1042;1904;
277;Plastico;3533;8900;4452;;2171;3331;2123;1536;2407;
278;Carton;3988;8997;;;566;1720;4256;3783;1199;
279;Vidiro;1550;6530;901;1831;2385;;4837;3328;2716;
280;Plastico;1323;9852;1365;;757;911;617;4896;263;
281;Vidiro;8588;4027;477;1787;2978;;3474;478;4796;
282;RAEE;2347;5535;;3898;1537;;;;;
283;RAEE;1262;4936;;2093;2673;;;;;
284;Carton;4328;2573;;;3751;525;4919;5017;2534;
285;Pilas;1630;1434;2245;4475;1710;2135;4852;3397;5013;
286;Pilas;10478;9675;925;4662;4441;4723;1100;1055;5012;
287;Plastico;10591;8948;3019;;4621;479;1671;1399;298;
288;Vidiro;7488;4733;3374;1064;4425;;2749;2674;1460;
289;Pilas;9753;3223;3332;998;2335;509;561;3029;133;
290;Plastico;8813;9884;2504;;3285;234;423;4158;613;
291;Vidiro;4246;6357;1186;4191;2991;;4461;1507;3668;
292;Pilas;8010;6333;864;2656;4006;448;4906;2593;857;
293;Pilas;6267;1422;4532;759;3539;1936;3944;3674;3612;
294;Pilas;8902;1439;3360;2603;4297;3803;1846;3658;210;
295;Vidiro;7667;2920;3047;2784;4451;;3305;3132;4257;
296;Plastico;3051;4790;2573;;1032;309;4584;824;3498;
297;Plastico;4328;6650;1331;;1189;1472;943;5044;669;
298;Plastico;10546;9043;1108;;4810;1148;2903;4109;184;
299;RAEE;8154;9567;;2763;718;;;;;
300;Vidiro;10611;4440;1995;3750;4028;;2719;3500;2356;
