id_C;Tipo;CX;CY;Lunes;Martes;Miercoles;Jueves;Viernes;Sabado;Domingo
57;Vidiro;9800;10452;2779;;;4564;1853;;3519;
58;Vidiro;7843;7272;2315;;;4298;4625;;1268;
59;Pilas;6998;4701;;;;;3115;1351;;
60;Plastico;3251;1451;;;;1112;;;;
61;Vidiro;5228;3013;4970;;;4617;1639;;4488;
62;Plastico;8793;6339;;;;5023;;;;
63;Plastico;5370;10657;;;;4241;;;;
64;RAEE;7500;5301;;168;;;4951;;;
65;Pilas;3136;3588;;;;;938;2808;;
66;Carton;6217;9441;;;;;768;;;
67;Carton;9704;3323;;;;;817;;;
68;Carton;8849;10766;;;;;4488;;;
69;RAEE;6506;6731;;799;;;754;;;
70;Vidiro;7801;1356;1043;;;3308;3085;;3654;
71;Vidiro;4276;3836;2316;;;138;4333;;5024;
72;Vidiro;2607;3674;2375;;;2830;5011;;2272;
73;Pilas;5799;10112;;;;;1485;3600;;
74;Carton;9797;3116;;;;;948;;;
75;RAEE;5123;10085;;2906;;;1480;;;
76;RAEE;6764;3143;;493;;;5080;;;
77;Pilas;9329;8609;;;;;2662;3986;;
78;RAEE;3978;6237;;1705;;;3067;;;
79;Plastico;3737;1129;;;;1950;;;;
80;Plastico;10772;1504;;;;5021;;;;
81;RAEE;9973;4986;;3196;;;3171;;;
82;Carton;4325;8254;;;;;4189;;;
83;RAEE;10398;6737;;830;;;4167;;;
84;RAEE;9444;3100;;2430;;;1530;;;
85;Vidiro;9218;9804;1286;;;2993;4617;;405;
86;Carton;10743;5289;;;;;1546;;;
87;Plastico;10210;2134;;;;1431;;;;
88;Carton;1582;5855;;;;;2937;;;
89;Pilas;5306;9746;;;;;143;4680;;
90;Carton;8965;1462;;;;;1517;;;
91;Pilas;8092;9058;;;;;1762;3314;;
92;Vidiro;9588;10200;4557;;;4605;951;;199;
93;Carton;7667;9649;;;;;4253;;;
94;Vidiro;1433;2993;388;;;1749;4025;;4694;
95;Pilas;7747;3512;;;;;2780;577;;
96;Carton;7452;4408;;;;;4996;;;
97;RAEE;2467;8446;;4781;;;2486;;;
98;Carton;1759;3141;;;;;1717;;;
99;Carton;3993;9295;;;;;3094;;;
100;Vidiro;4956;6141;2401;;;1329;3816;;403;
101;Plastico;6154;10663;;;;2766;;;;
102;Pilas;6653;3434;;;;;2205;943;;
103;Plastico;8742;9354;;;;1640;;;;
104;RAEE;10913;5695;;2124;;;1937;;;
105;Plastico;9475;9641;;;;1870;;;;
106;Vidiro;10629;5176;4871;;;4056;832;;1100;
107;Pilas;3673;3387;;;;;3788;889;;
108;RAEE;1173;1693;;4769;;;2898;;;
109;RAEE;1419;9763;;4181;;;1755;;;
110;RAEE;8417;9776;;4542;;;713;;;
111;Plastico;6409;10435;;;;3631;;;;
112;Plastico;10065;3324;;;;3936;;;;
113;Vidiro;2280;5046;405;;;1533;2443;;445;
114;Vidiro;3222;4869;1898;;;4990;3937;;2317;
115;Pilas;4653;3693;;;;;408;211;;
116;Pilas;7427;4595;;;;;3492;456;;
117;Pilas;7692;7540;;;;;857;316;;
118;Vidiro;3202;6945;2700;;;2234;3254;;4133;
119;Plastico;1829;9499;;;;4798;;;;
120;Vidiro;1890;5406;1179;;;3075;4693;;3872;
121;Vidiro;6626;7254;3505;;;4949;1240;;3249;
122;Carton;6205;3833;;;;;545;;;
123;RAEE;5942;2257;;2340;;;558;;;
124;RAEE;7599;1726;;2084;;;1655;;;
125;Carton;5815;10592;;;;;805;;;
126;RAEE;1350;9546;;4777;;;3240;;;
127;Carton;1557;1303;;;;;892;;;
128;Vidiro;6060;1595;3310;;;2252;1218;;4351;
129;Carton;4950;7060;;;;;4401;;;
130;Vidiro;4300;3319;478;;;3735;4337;;2034;
131;Plastico;4450;6181;;;;4256;;;;
132;Pilas;2883;10438;;;;;1661;4030;;
133;Carton;2497;4216;;;;;2390;;;
134;Pilas;9277;2623;;;;;1587;228;;
135;Pilas;7693;8090;;;;;4205;403;;
136;RAEE;5731;3406;;2084;;;2884;;;
137;Pilas;3609;8574;;;;;1160;4207;;
138;Carton;9314;2568;;;;;4205;;;
139;Pilas;3508;4904;;;;;458;2220;;
140;Plastico;10064;5000;;;;2139;;;;
141;Plastico;6927;2884;;;;2720;;;;
142;Pilas;6327;8597;;;;;730;3781;;
143;Pilas;1483;5605;;;;;4720;3666;;
144;Carton;5591;8042;;;;;3799;;;
145;Plastico;6357;2194;;;;4562;;;;
146;RAEE;1055;5946;;1865;;;2166;;;
147;RAEE;10265;1765;;1405;;;1792;;;
148;RAEE;6700;10824;;2479;;;3874;;;
149;Pilas;8389;9010;;;;;4325;4067;;
150;Pilas;10472;1197;;;;;516;2339;;
151;Vidiro;9512;5115;1158;;;1609;3510;;2565;
152;Pilas;7455;9612;;;;;4973;2977;;
153;Plastico;7347;9689;;;;4491;;;;
154;Pilas;1742;1359;;;;;3221;4233;;
155;Pilas;9797;3483;;;;;3122;2902;;
156;Vidiro;3412;10571;2928;;;1910;1652;;3395;
157;Carton;6759;4962;;;;;621;;;
158;Vidiro;7428;4963;758;;;3937;2111;;3458;
159;RAEE;4878;8545;;4720;;;4356;;;
160;Carton;3805;10094;;;;;3054;;;
161;Carton;8929;8681;;;;;832;;;
162;Plastico;7446;7899;;;;726;;;;
163;RAEE;4709;1324;;920;;;4386;;;
164;RAEE;7430;7342;;494;;;575;;;
165;Vidiro;3725;6583;1183;;;913;2836;;3932;
166;RAEE;7786;7992;;980;;;1834;;;
167;Plastico;6943;1161;;;;3371;;;;
168;Pilas;6893;3213;;;;;1117;2940;;
169;Carton;4880;2341;;;;;4800;;;
170;RAEE;2980;6896;;4146;;;2742;;;
171;Plastico;5222;2771;;;;3160;;;;
172;Vidiro;10206;7743;4491;;;3629;4241;;2480;
173;RAEE;6761;8227;;1022;;;3094;;;
174;Pilas;8947;9168;;;;;3218;4285;;
175;RAEE;6752;9350;;318;;;4502;;;
176;Plastico;9859;8466;;;;3005;;;;
177;Plastico;7461;8371;;;;1138;;;;
178;Carton;1431;6235;;;;;4032;;;
179;Vidiro;10626;8662;3459;;;3523;1752;;3135;
180;Plastico;6698;1998;;;;3966;;;;
181;Vidiro;9910;6452;4762;;;3902;1382;;1332;
182;RAEE;5557;6141;;2806;;;4499;;;
183;Vidiro;1160;6077;2650;;;1960;763;;1784;
184;Carton;1792;7642;;;;;317;;;
185;Carton;6001;10122;;;;;3136;;;
186;Pilas;5820;5220;;;;;138;3230;;
187;Pilas;1823;1793;;;;;1077;2176;;
188;RAEE;1377;2886;;4176;;;4692;;;
189;Carton;5320;1588;;;;;4848;;;
190;Plastico;9139;10234;;;;4923;;;;
191;Carton;1026;4406;;;;;1696;;;
192;Plastico;9407;5643;;;;1543;;;;
193;Vidiro;6815;6389;953;;;4972;4088;;1747;
194;Pilas;10017;10966;;;;;846;1952;;
195;Plastico;10996;10823;;;;769;;;;
196;Plastico;7763;9818;;;;5002;;;;
197;Plastico;9052;8181;;;;4531;;;;
198;Plastico;1587;7599;;;;4094;;;;
199;RAEE;2242;8196;;2158;;;2686;;;
200;Pilas;10955;5263;;;;;4043;2362;;
201;RAEE;10179;6261;;5025;;;3566;;;
202;Vidiro;1038;5748;807;;;2964;1533;;1224;
203;Carton;3766;1838;;;;;3944;;;
204;Vidiro;6269;6245;2748;;;692;3137;;4944;
205;Plastico;3381;6095;;;;3788;;;;
206;RAEE;10359;4944;;1721;;;3223;;;
207;RAEE;6597;2663;;4163;;;1801;;;
208;Vidiro;10149;1326;2113;;;3212;3632;;4880;
209;Carton;4950;9190;;;;;671;;;
210;RAEE;4436;7771;;480;;;4908;;;
211;Carton;5415;3761;;;;;4650;;;
212;RAEE;8802;6615;;1886;;;3688;;;
213;Carton;2618;8383;;;;;1119;;;
214;Vidiro;3799;4304;4577;;;812;2282;;2689;
215;Carton;6597;9314;;;;;3887;;;
216;Pilas;5642;9462;;;;;1513;3133;;
217;RAEE;4955;3573;;3169;;;3929;;;
218;Carton;4351;8223;;;;;3297;;;
219;Pilas;6361;5385;;;;;2844;1088;;
220;Vidiro;3186;2895;2455;;;1473;1457;;989;
221;Pilas;1314;7954;;;;;3306;842;;
222;RAEE;6197;2668;;3062;;;1154;;;
223;Pilas;1977;6535;;;;;498;4465;;
224;Carton;9206;8621;;;;;1503;;;
225;Carton;3982;6898;;;;;2178;;;
226;RAEE;9239;5757;;3984;;;3564;;;
227;Vidiro;6347;6241;761;;;3648;1360;;319;
228;Vidiro;6642;3809;1411;;;871;4394;;3740;
229;Vidiro;8659;5149;3476;;;2455;1759;;4989;
230;Pilas;6110;1993;;;;;2781;3172;;
231;Vidiro;1379;9791;715;;;2355;3845;;2308;
232;Carton;8961;1758;;;;;4321;;;
233;Carton;6978;7398;;;;;4318;;;
234;Plastico;10062;5154;;;;2802;;;;
235;Vidiro;2813;3661;1641;;;1468;4852;;1531;
236;Carton;7478;3098;;;;;612;;;
237;Vidiro;6170;9950;3668;;;1017;1658;;3765;
238;Pilas;5477;5519;;;;;334;193;;
239;RAEE;4105;8984;;3775;;;2146;;;
240;Carton;3630;4539;;;;;896;;;
241;Plastico;7200;10194;;;;4020;;;;
242;Carton;1298;4768;;;;;2496;;;
243;Vidiro;3339;8263;2741;;;1666;3938;;3658;
244;Vidiro;10476;3503;4096;;;4731;4722;;4189;
245;Pilas;3736;4958;;;;;1512;2457;;
246;Vidiro;2547;5951;2443;;;2604;4104;;4781;
247;Carton;8776;6654;;;;;4627;;;
248;Pilas;5403;3141;;;;;3421;1234;;
249;Pilas;5708;8160;;;;;4285;1115;;
250;Carton;1433;5533;;;;;1507;;;
251;Pilas;9622;5735;;;;;2639;2599;;
252;Pilas;8722;6438;;;;;2632;2882;;
253;Pilas;2306;7536;;;;;4183;3643;;
254;Carton;10968;10962;;;;;3561;;;
255;Carton;2753;2267;;;;;2913;;;
256;Vidiro;5779;7993;2247;;;2526;1631;;4245;
257;Plastico;4833;7505;;;;4298;;;;
258;Vidiro;1396;3731;935;;;1634;905;;3717;
259;RAEE;8840;9694;;3375;;;2337;;;
260;Vidiro;4752;4238;3666;;;1443;2902;;3262;
261;Pilas;5156;9934;;;;;2607;2533;;
262;Vidiro;4933;10038;2866;;;1996;1911;;3416;
263;RAEE;3292;1894;;3227;;;2528;;;
264;RAEE;9747;9096;;2541;;;3332;;;
265;Plastico;5896;2030;;;;3234;;;;
266;RAEE;2213;7903;;467;;;165;;;
267;Plastico;7338;5301;;;;3945;;;;
268;Pilas;7734;1505;;;;;4765;4723;;
269;RAEE;2131;3828;;3524;;;3822;;;
270;Carton;6881;2551;;;;;4728;;;
271;Carton;7000;3772;;;;;4332;;;
272;RAEE;8668;10451;;2255;;;2116;;;
273;Vidiro;10472;5336;989;;;774;3137;;2561;
274;Vidiro;1871;7123;207;;;2240;4041;;1338;
275;Plastico;10968;4233;;;;143;;;;
276;RAEE;10114;3566;;194;;;5018;;;
277;Pilas;1318;5867;;;;;3086;770;;
278;Carton;2720;7493;;;;;2644;;;
279;Carton;1830;7421;;;;;2956;;;
280;Vidiro;6810;3247;3386;;;3018;3935;;1878;
281;RAEE;2859;7425;;1544;;;2540;;;
282;Carton;9142;7910;;;;;788;;;
283;Carton;4356;5924;;;;;3323;;;
284;Pilas;1426;1344;;;;;3598;3290;;
285;Plastico;10283;7043;;;;2157;;;;
286;Plastico;6829;9228;;;;4528;;;;
287;Vidiro;4308;3505;2243;;;4384;2010;;5021;
288;Carton;3383;9354;;;;;625;;;
289;Pilas;6265;9719;;;;;5073;3743;;
290;Carton;9571;4197;;;;;367;;;
291;Plastico;5794;9920;;;;4178;;;;
292;Pilas;2315;6181;;;;;3596;3510;;
293;Vidiro;1354;5276;2960;;;3075;314;;2244;
294;RAEE;10885;1135;;4691;;;3948;;;
295;Plastico;3756;7208;;;;421;;;;
296;RAEE;2182;8562;;831;;;3083;;;
297;Vidiro;6511;6525;421;;;4703;3318;;602;
298;RAEE;6738;9066;;2545;;;2443;;;
299;Vidiro;9335;6305;5001;;;3901;1655;;1488;
300;Carton;5680;7146;;;;;3888;;;
301;RAEE;3355;3803;;4989;;;465;;;
302;Pilas;6705;1620;;;;;2668;1245;;
303;Carton;2604;8889;;;;;1274;;;
304;Vidiro;10744;5191;1460;;;1736;3036;;4795;
305;Vidiro;9293;5606;2194;;;1261;2436;;3226;
306;RAEE;9659;8572;;2466;;;1827;;;
307;RAEE;8375;8255;;3180;;;4327;;;
308;Vidiro;9145;1649;1201;;;4990;3926;;3727;
309;Pilas;1986;4017;;;;;3799;1106;;
310;RAEE;9508;9394;;3214;;;795;;;
311;Carton;2394;6627;;;;;972;;;
312;RAEE;1639;7956;;3105;;;135;;;
313;Plastico;2514;2613;;;;1047;;;;
314;Vidiro;6840;5329;2665;;;530;4290;;1491;
315;Carton;6409;7529;;;;;1082;;;
316;Pilas;6228;7767;;;;;5074;1166;;
317;Plastico;9957;1669;;;;4684;;;;
318;Vidiro;4701;5685;2109;;;3924;4681;;2144;
319;Vidiro;7690;2194;4089;;;3486;2657;;3389;
320;Pilas;6952;5339;;;;;2443;4849;;
321;Carton;5009;9104;;;;;4337;;;
322;Carton;2223;7573;;;;;2390;;;
323;Plastico;6530;7233;;;;1567;;;;
324;Pilas;7286;3139;;;;;3395;1063;;
325;Carton;8623;7691;;;;;3917;;;
326;RAEE;10920;5347;;2577;;;2737;;;
327;Plastico;5508;2817;;;;3303;;;;
328;Vidiro;8918;1478;101;;;4815;2631;;1674;
329;Pilas;6278;7173;;;;;1611;2376;;
330;Plastico;10924;8797;;;;1714;;;;
331;Vidiro;8444;7731;588;;;2189;4507;;508;
332;Plastico;2436;3963;;;;4173;;;;
333;Plastico;8471;3406;;;;775;;;;
334;Pilas;1324;2020;;;;;425;2187;;
335;Carton;3218;4252;;;;;3492;;;
336;Pilas;7709;1229;;;;;1733;4479;;
337;Pilas;8787;9247;;;;;970;3937;;
338;Plastico;9663;5311;;;;523;;;;
339;Carton;6748;8560;;;;;1273;;;
340;Carton;2384;3067;;;;;3511;;;
341;Carton;3392;8736;;;;;4169;;;
342;Carton;5824;1316;;;;;3642;;;
343;Vidiro;6060;5030;2180;;;763;954;;1320;
344;Plastico;6263;10030;;;;4200;;;;
345;RAEE;5045;3754;;4569;;;4954;;;
346;Plastico;8610;10130;;;;4094;;;;
347;Pilas;8549;5095;;;;;1393;3284;;
348;Vidiro;1503;1363;919;;;2784;3002;;980;
349;Plastico;9067;10377;;;;3830;;;;
350;Pilas;1232;7884;;;;;714;427;;
351;Vidiro;6798;10659;947;;;580;4387;;3557;
352;Vidiro;5610;7666;3612;;;2214;2660;;4905;
353;Vidiro;6298;5415;3406;;;1687;4305;;2660;
354;Plastico;4819;8272;;;;4583;;;;
355;Vidiro;3354;4521;2800;;;4235;3147;;3598;
356;Plastico;6147;3480;;;;727;;;;
357;Vidiro;9119;5155;1237;;;4410;3850;;3351;
358;RAEE;4223;5907;;2738;;;176;;;
359;Carton;9207;6577;;;;;867;;;
360;Plastico;10396;3905;;;;3980;;;;
361;Vidiro;2611;3578;763;;;3166;4747;;613;
362;Carton;4213;3127;;;;;3940;;;
363;Pilas;7598;1366;;;;;2835;1128;;
364;Vidiro;6532;3339;540;;;988;3342;;1968;
365;Carton;1448;9819;;;;;2667;;;
366;RAEE;5568;6406;;3548;;;3469;;;
367;Vidiro;1555;6048;3721;;;4795;4646;;3286;
368;Carton;4174;6757;;;;;4872;;;
369;RAEE;3475;4809;;4956;;;793;;;
370;Vidiro;3550;1459;3539;;;153;4453;;339;
371;Carton;6225;2854;;;;;4893;;;
372;Carton;4612;6783;;;;;2082;;;
373;Plastico;7338;9289;;;;1411;;;;
374;Plastico;10336;7913;;;;2610;;;;
375;RAEE;10023;8875;;2950;;;1784;;;
376;Pilas;3493;3706;;;;;144;3266;;
377;RAEE;10863;10835;;4317;;;1526;;;
378;Plastico;5796;8423;;;;4689;;;;
379;Plastico;2036;6015;;;;4470;;;;
380;Plastico;8705;9823;;;;468;;;;
381;Pilas;9159;9650;;;;;769;4125;;
382;Carton;10093;6655;;;;;2229;;;
383;RAEE;9149;5582;;4645;;;4200;;;
384;Plastico;8075;6732;;;;1392;;;;
385;Plastico;4510;9468;;;;2842;;;;
386;Pilas;4058;2103;;;;;2340;573;;
387;Pilas;9167;7064;;;;;3636;675;;
388;Pilas;3213;9401;;;;;1338;2594;;
389;Carton;7900;9114;;;;;1501;;;
390;Vidiro;3697;2835;3249;;;4010;4482;;1921;
391;Pilas;2554;3892;;;;;1722;2087;;
392;Plastico;9348;10077;;;;2040;;;;
393;Carton;5551;5264;;;;;3213;;;
394;Carton;8800;5932;;;;;2654;;;
395;Pilas;3529;3917;;;;;881;1131;;
396;Pilas;8376;4535;;;;;664;2285;;
397;Vidiro;4230;5474;151;;;2481;912;;1793;
398;Carton;1355;8799;;;;;4532;;;
399;Vidiro;1248;9334;965;;;2790;3549;;117;
400;Carton;4974;9775;;;;;1603;;;
